求职网站,公司名称,岗位名,需求数量,职责,能力要求,薪资待遇
51Job,成都谷小智未来人工智能科技有限公司,AI超级员工合伙人,150-500人,公司拥有成熟的AI超级员工机器人，拥有当地的精准企业资源，由当地城市合伙人负责对接当地企业签约， 岗位收入：公司给到城市合伙人 一：售卖一个AI超级员工机器人5980的收入，跑的商家越多，收入越高，收益日结，收益日结，收益日结 二：无人直播，数字人，碰一碰，矩阵系统每售卖一个1000元—10000的收益，跑的商家越多，收入越高，收益日结，收益日结，收益日结 多劳多得，少劳少得，陪跑服务，包教包会包落地,,1.5-3万
51Job,舟苏光电科技（重庆）有限责任公司,大区销售经理,50-150人,1、根据公司整体销售战略，制定大区年度 / 季度 / 月度销售计划，明确销售目标、分解路径及执行方案，确保完成销售额、毛利率等核心 KPI。 2、聚焦光量子芯片 IDM 核心优势（芯片自研 + 制造 + 封装测试一体化），针对区域内高端光通信、AI 算力网络、科研机构、量子应用等目标客户，开展直销与渠道协同销售，挖掘项目需求，推进订单落地。 3、跟踪大区销售漏斗全流程，及时解决项目推进中的技术对接、商务谈判、合同签订、回款等关键问题，保障销售闭环。 4、制定大区渠道发展规划，筛选、招募符合公司要求的渠道合作伙伴（光通信设备商、系统集成商、科研代理商、区域技术服务商等）。 5、为渠道伙伴提供全周期支持：包括产品技术培训（光量子芯片原理、IDM 产能优势、应用场景适配）、方案设计支持、投标协助、客户资源对接、售后问题协同解决等，提升渠道销售能力。 6、定期开展渠道巡检与复盘，分析渠道销售数据、客户反馈，淘汰低效渠道，保障渠道体系健康运转。 7、深入调研大区市场环境（政策导向、行业趋势、竞品动态、客户需求），结合光量子芯片技术特性，输出区域市场分析报告，提出产品推广与市场策略建议。 8、重点拓展区域内核心客户（头部云厂商、通信设备巨头、量子科技企业、科研院校、政府事业单位），建立高层客户关系，挖掘长期合作机会，打造标杆案例。 9、维护存量客户关系，定期回访，了解产品使用情况，收集客户反馈（技术优化、产能需求、应用拓展），协同内部研发、生产团队响应需求，提升客户满意度与复购率。 10、组织或参与区域内行业展会、技术研讨会、产品推介会等市场活动，传递公司 IDM 技术实力与产品价值，提升品牌影响力。 11、与技术支持团队（FAE）协同，为客户与渠道提供专业的技术咨询、方案演示、样品测试等服务，解决技术对接痛点。 12、向公司反馈区域市场需求、竞品动态、渠道问题，为产品迭代、产能规划、渠道政策优化提供依据。 13、配合销售中心完成大区销售数据统计、报表提交、工作总结等工作，确保信息同步与流程规范。,1、学历背景：本科及以上学历，电子信息工程、光通信、微电子、量子科技、市场营销等相关专业优先。 2、工作经验：5 年以上光通信、光电子、半导体芯片、智能汽车等领域销售经验，3 年以上大区销售管理或渠道建设与管理经验；具备光量子芯片、光模块、光器件、半导体 IDM 企业从业背景者优先。 3、区域资源：熟悉管辖大区的市场格局、行业客户分布，拥有成熟的光通信设备商、云厂商、科研机构、政府项目等客户资源或渠道资源者优先。 4、技术认知：具备光量子芯片、光通信产品相关技术基础，理解 IDM 模式（设计 + 制造 + 封装测试一体化）的核心优势，能与客户技术团队进行专业沟通，独立完成技术型方案讲解。 5、销售能力：具备强烈的目标感与结果导向，擅长制定销售策略、挖掘客户需求、推进复杂项目谈判，过往有明确的销售业绩增长案例。 6、渠道管理：具备渠道规划、招募、赋能、管控的全流程经验，能制定合理的渠道政策，有效激励渠道伙伴，解决渠道冲突。 7、沟通协调：具备优秀的商务沟通、谈判能力与跨部门协同能力，能快速对接内部研发、生产、技术团队，响应客户与渠道需求。 8、抗压能力：能承受高强度的市场竞争与销售目标压力，具备灵活应对市场变化的应变能力。 9职业素养：诚信正直，具备良好的职业道德与团队合作精神，责任心强，执行力突出。,1-1.5万
51Job,重庆融尊永一信息科技有限公司,3d场景建模师,,】 - 负责游戏项目的3D场景建模与设计，确保模型符合项目需求和艺术风格； - 与美术团队协作，完成场景布局、材质贴图及细节优化； - 根据项目进度进行模型调整与迭代，提升整体视觉表现力； 【,】 - 熟悉3D建模软件，具备良好的审美能力； - 具备良好的沟通能力和团队合作精神，能够适应快节奏的工作环境； - 也欢迎转行人员投递。,4-6千
51Job,童朵文化传媒（重庆）有限公司,数据分析 实习生（双休）,,】 - 在资深数据分析师指导下完成基础数据清洗、整理及可视化呈现工作 - 协助开展业务数据建模与分析，输出可落地的数据洞察报告 - 参与日常数据监控看板维护，跟踪关键指标变化趋势 - 配合团队完成专项课题研究，如用户行为分析/市场竞品调研等 【,"】 - 大专以上学历，专业不限 但需具备较强的学习能力 - 对数据敏感度高，能快速理解业务逻辑并转化为分析问题 - 责任心强，沟通表达清晰，能接受阶段性高强度工作压力 【薪资待遇】 底薪+项目奖金，综合收入4-7K,入职买五险 【工作时间】 朝九晚六，周末双休",4-7千
51Job,天骥飞训（太仓）科技有限公司,低空市场经理（无人机应用）,500-1000人,,1、大专及以上学历，专业不限，市场营销、航空、教育类相关专业优先。 2、1-3年无人机行业产品交付经验，有巡检、应急救援、消防、吊运等任一或多个场景的产品规划、落地经验者优先；熟悉无人机硬件（飞行器、挂载设备）、软件（飞控系统、地面站、AI识别软件）的核心技术及行业应用逻辑。 3、具备扎实的产品思维，能精准捕捉场景需求，熟练掌握产品规划、需求分析、PRD撰写、项目推进的全流程；具备良好的跨部门协同能力、沟通表达能力及问题解决能力，能推动复杂项目落地。 4、了解无人机行业相关法规、标准（如民航局无人机管理规定），有行业客户对接经验、标杆项目落地经验者优先；能接受偶尔出差（对接客户、调研场景）。,1-2万
51Job,重庆西部宠物生命科学研究院,项目运营经理,少于50人,,我们不看重虚头巴脑的履历，只看重你的实操能力与执行力，符合以下要求的你，欢迎大胆投递： 1、学历与经验：本科及以上学历，3年及以上项目运营、活动运营、专项执行相关工作经验，有完整项目全流程操盘案例者优先。 2、核心能力：具备极强的执行力、统筹协调能力与目标感，做事严谨细致、逻辑清晰，擅长时间管理与多任务并行处理，能高效推进项目落地。 3、技能要求：熟练使用Office办公软件（Excel、PPT、Word），能独立制作项目方案、数据报表、复盘PPT；熟悉基础数据分析逻辑，会用简单数据工具监控项目效果、AI工具熟练者加分。 4、软实力：沟通表达顺畅，责任心强，抗压能力好，面对突发问题能冷静应对、快速解决，具备主动思考、主动推进的工作意识，拒绝躺平摸鱼。 5、行业适配：了解宠物行业与市场环境者优先，有相关行业项目执行经验者优先。,8千-1.5万
51Job,东莞市华翌精密机械科技有限公司,工业CAD-CAE-CAM研发工程师,50-150人,,机电一体化，自动控制，人工智能相关学科知识背景本硕博毕业生,8千-1.5万
51Job,达丰（重庆）电脑有限公司,SW/TE 测试工程师,10000人以上,1.负责电子产品（如主板、整机）生产过程中的测试流程规划、体系建设与持续优化； 2.承担产线测试程序的开发、修改、整合与维护，确保测试逻辑准确高效； 3.配合完成测试设备的调试与验证，保障测试系统的稳定性与可靠性； 4.收集并分析生产测试数据，定期整理测试报表，输出数据分析报告； 5.持续优化测试策略与方案，协助提升测试良率，降低误判与漏测风险； 6.协同制造、工程及品质团队，快速定位并解决产线测试异常问题，支持项目交付与技术落地。,1、本科及以上学历，理工科相关专业（如电子工程、自动化、计算机、通信、机械电子，光学等）； 2、英语四级（CET-4）及以上，具备基本英文读写能力，有良好口语沟通能力者优先； 3、对电子产品硬件/软件、智能制造、AI应用等领域有浓厚兴趣，具备基础编程能力，熟悉C/C++/C#、Python等语言者优先； 4、熟悉常用办公软件（Excel、PPT等）进行数据分析与报告制作； 5、逻辑思维清晰，责任心强，具备良好的沟通表达能力与团队协作意识；能适应生产现场工作节奏，愿意在实践中不断提升技术能力。,4.8-8.8千
51Job,中冶赛迪集团有限公司,增材制造研究人员/工程师,,1.负责开展增材制造（3D打印）相关的基础与应用研究，包括材料、工艺、和结构设计等方向； 2.参与增材制造设备的调试、操作及维护，保障实验任务顺利进行； 3.结合研究成果，推动增材制造技术在工程与产业化方向的应用； 4.协助团队开展技术攻关、实验方案制定、数据分析及技术文件撰写； 5.参与到市场调研/对接相关工作，提供增材技术支持。,1.硕士及以上学历，增材制造、材料科学、材料加工工程等相关专业。 2.熟悉增材制造的基本原理、主要工艺（如选区激光熔化、激光定向能量沉积、电子束熔化、电弧增材等）；具备基础材料专业知识；掌握金属材料基本分析测试方法。 3.熟悉金属3D打印设备，对国内外主流的设备有所了解或有使用经验；有设备开发经验和材料工艺开发经验者优先。 4.具备铝合金、铜合金的材料研发经验，有铝/铜合金增材制造研究经历者优先； 5.有数值模拟（流场、有限元等）或AI+材料（机器学习等）研究经验者优先 6.具备文献调研、撰写能力和实验动手能力，逻辑思维强，善于观察和分析问题。 7.具有良好的沟通能力和文字表达能力，英语读写良好以上水平。 薪资待遇： 地区内富有竞争力的薪酬，具体薪资面议。,18-36万/年
51Job,重庆承业律师事务所,新媒体运营主管,少于50人,】 - 根据律所规划进行账号打造孵化和引流、抖音、小红书等主流平台的内容策划与日常运营管理，包括选题挖掘、文案撰写及排版设计； - 根据品牌调性制定传播策略，通过图文、短视频等形式提升用户互动率与粉丝粘性； - 监测分析各平台数据指标（阅读量、点赞率、转化率等），定期输出复盘报告并优化运营方案； - 分析市场和用户需求，优化产品和服务的特性和差异性 - 完成上级交办的其他新媒体相关的工作任务 【,】 - 大专及以上学历，专业不限，有成功运作案例者优先 - 熟悉新媒体平台规则及运营逻辑，有从0到1搭建运营账号、具备PS/AI、pr操作能力者优先 - 具备敏锐的网感与审美能力，能独立完成拍摄、剪辑、文案、后期处理等流程 - 数据敏感性强，掌握Excel函数处理及基础数据分析技能 - 拥有良好的沟通协调能力，能高效对接跨部门协作需求,1-2万
51Job,湖北辉聚软件技术有限公司,物联网实施工程师,少于50人,】 - 负责物联网项目的现场部署与实施，确保项目按计划顺利推进； - 协助完成设备安装、调试及系统集成工作； - 与客户沟通需求，提供技术支持和解决方案； - 编写项目实施文档及技术报告，保障项目资料完整性。 【,】 - 本科及以上学历，电子工程、计算机科学、自动化等相关专业优先； - 对物联网技术有基本了解，具备良好的学习能力和责任心； - 具备一定的沟通协调能力，能适应出差及现场工作； - 拥有较强的责任心和团队合作精神，能够承受一定工作压力。,8千-1.2万
国聘,上海人工智能研究院有限公司,算法工程师,100-300人,"1. 参与各类算法模型的开发、训练和部署；
2. 负责下游多模态、跨语言等方向的任务复现，并在已有平台上进行性能优化；
3. 参与多模态、跨语言等方向的前沿共性技术和应用的研究和实践；
4. 负责项目技术文档的撰写及相关技术工作汇报；
5. 知产、专利方向上与专利工程师/标准化工程师配合，支撑好相关工作。","1．硕士及以上学历，计算机、人工智能或相关专业（具备大型能源、工业、医疗等行业经验优先）；
2．具备复现跨模态数据处理相关算法的能力；
3.  优秀的科研能力及有相应成果。",12000-25000元/月
国聘,上海人工智能研究院有限公司,数字/智能电网专家,100-300人,"1. 技术应用创新：探索人工智能与电力电网等能源行业融合应用，推动落地实施；
2. 项目规划与管理：负责相关项目的规划、组织与实施，协调跨部门资源，把控项目进度与质量，确保项目目标达成；
3. 数据分析与决策支持：收集和分析能源数据，运用人工智能技术挖掘数据价值，为企业战略决策、生产运营优化提供数据驱动的建议；
4. 商务拓展及谈判：挖掘潜在的项目商业机会，寻找合作伙伴，推动业务增长。主导或参与商务合同的谈判与签订，把控合同风险，保障合作顺利开展；
5. 客户关系维护：负责重要客户的关系管理，深入了解客户需求，提供定制化解决方案，提升客户满意度和忠诚度，促进长期合作；
6. 行业交流与合作：跟踪行业前沿动态，参与行业研讨会，与高校、科研机构开展合作，引进先进理念和技术，提升行业影响力。","1. 本科及以上学历，具备扎实的电力电网领域专业知识，熟悉新型电力系统、新能源等；精通人工智能技术，包括机器学习、深度学习算法等；
2. 有丰富的商务拓展、客户关系管理和商务谈判经验，熟悉商务流程和合同条款，具备敏锐的商业洞察力；
3. 拥有丰富的人工智能项目开发和电力电网数字化转型、新型电力系统建设等项目经验，能够独立承担复杂项目；
4. 优秀的沟通协作能力，能与不同专业背景的人员有效合作，推动项目顺利开展。对电力电网行业市场动态和商业机会有敏锐的感知，能够及时调整业务策略，适应市场变化。",面议
国聘,上海人工智能研究院有限公司,商业分析师,100-300人,"1. 与客户深入沟通，全面了解其业务现状与技术需求，挖掘潜在问题并提供针对性解决方案建议；
2. 依据客户需求和行业最佳实践，设计技术方案，包括但不限于技术选型、实施方案、项目计划、经费测算等内容；
3. 与客户深入沟通方案，并按需做针对性修改；
4. 在项目实施过程中，提供技术指导，协助解决技术难题，确保项目按方案顺利推进；
5. 总结项目经验，整理成内部知识库，定期进行内外部分享，辅助提升团队水平；
6. 论文、标准、专利等方向上与专利工程师/标准化工程师配合，支撑好相关工作。","1. 本科及以上学历，精通并热爱人工智能技术与产业化应用，具备一定技术功底；
2. 优秀的方案撰写与沟通能力，擅长精准理解客户需求，并交付高质量方案；
3. 出色的沟通技巧，能够将复杂技术概念清晰传达给不同背景人员；
4. 拥有丰富项目经验，能独立应对各类技术挑战，把控项目风险；
5. 持续关注行业动态，快速掌握新技术，为客户提供前沿技术建议。",面议
国聘,上海人工智能研究院有限公司,人才发展业务总监,100-300人,"1.  营收目标达成与市场开拓：确保达成并超越年度营收指标。独立或带领团队，主动识别、开拓并深耕高教领域（高校、高职）目标客户，建立稳固的客户关系网络，持续挖掘商业机会，推动合同签订与回款。
2.  高教业务资源整合与方案设计：深入了解高教客户在人才培养、学科建设、数字化转型（如AI+教育、智慧教学、科研赋能、师资培训、产教融合）等方面的核心痛点和需求，整合研究院内外部资源，设计并包装符合市场需求、具备竞争力且能规模化推广的相关解决方案及服务产品包（如：AI赋能专业建设方案、智能教学平台与资源服务、高水平师资AI能力培训项目、定制化产教融合服务、科研转化合作项目等）。
3.  科研成果商业化转化：深刻理解研究院在人工智能领域的前沿科研成果，将其有效转化为可面向高教市场销售的产品、服务或解决方案，打通从技术到市场应用的链条，直接服务于营收目标。
4.  业务生态建设与伙伴合作：积极拓展并维护与高教领域的核心院校、关键决策者、行业协会以及互补型科技企业、服务商的战略合作关系，建立互利共赢的业务生态，共同开发市场，实现资源共享与联合销售，扩大业务覆盖面和影响力。
5.  市场洞察与策略调整：紧密跟踪国家教育政策、高教改革趋势、人工智能技术发展及其在教育领域的应用动态，及时调整市场策略、产品方向和销售打法，保持竞争优势。","1. 本科及以上学历；教育、市场营销、工商管理、计算机科学、人工智能等相关专业背景优先。
2. 5年以上工作经验，其中至少3年专注于高等教育（高校、高职）领域的商业化拓展经验（如：销售、商务拓展、解决方案销售、大客户管理）。具备可验证的、成功的业绩达成记录。拥有教育产品/服务销售、解决方案销售、政府/高校大客户管理经验者优先。有教育生态资源整合、产学研合作、科研成果市场转化经验者优先。
3.  熟悉高教业务模式，具备极强的客户需求挖掘、方案价值呈现、商务谈判、合同签订及关系维护能力。
4. 对数字敏感，以达成和超越营收目标为第一要务，具备强烈的进取心和抗压能力。
5. 能够快速理解客户需求，整合内外部资源，设计出有竞争力的综合性解决方案。
6. 深刻理解中国高等教育体系、院校运作机制、决策流程、预算来源及当前热点需求。
7. 出色的跨部门协作能力和高层客户沟通能力，能有效影响内外部关键决策者。",面议
国聘,上海人工智能研究院有限公司,教育生态经理,100-300人,"1.  战略规划： 深刻洞察教育及人才培养市场的宏观趋势与微观动态，结合政策导向与研究院的战略目标，主导制定人才培养项目的发展战略及渠道运营规划，确保业务的前瞻性与竞争力。
2.生态构建： 对教育行业全产业链有深入理解，积极开拓政府、中小学、高等院校、职业院校、头部企业及行业组织等关键合作伙伴，构建覆盖上下游的完整、高效、共赢的教育生态体系。
3.生态运营： 维护并深化与现有生态伙伴的战略合作关系，通过策划并执行高端峰会、主题沙龙、工作坊、联合课题等多元化生态活动，持续吸引新的高质量伙伴加入，显著提升生态伙伴的合作体验与粘性。
4.项目落地： 具备卓越的商务谈判技巧与跨部门项目统筹能力，能有效整合内外部生态资源，协调各方诉求，确保教育合作项目及市场活动的顺利策划、高效执行与高质量交付。","1. 本科及以上学历。教育、市场营销、工商管理、计算机科学、人工智能等相关专业背景优先。
2. 3年以上工作经验，其中至少2年专注于教育（K12、基础教育）领域的生态建设经验（如：教育领域的行业协会等任职）。具备可验证的、成功的达成记录。有教育生态资源整合、产学研合作、科研成果市场转化经验者优先。
3. 熟悉教育领域的业务模式，具备极强的生态延展商业方案价值呈现、商务接洽及关系维护能力。
4. 具备强烈的进取心和抗压能力。
5. 能够快速理解院级生态战略意图，整合内外部资源，设计出综合性生态建设方案。
6. 深刻理解中国教育体系、院校运作机制、决策流程、预算来源及当前热点需求。
7. 出色的跨部门协作能力和教育侧合作方的沟通能力，能有效影响内外部关键决策者。",面议
国聘,上海人工智能研究院有限公司,国际合作项目主管,100-300人,"1. 梳理、识别并持续拓展中心在政府、标准制定组织、国际行业联盟等合作机构中可调动的各类生态资源；建立并维护动态化资源台账，形成结构化资源图谱，确保资源信息完整、准确和可溯源；
2. 对已积累的生态资源进行系统分类与价值评估，分析不同类型资源对产业端和企业端的应用潜力；构建资源对接矩阵，确保资源在不同场景下的精准匹配和高效调配；
3. 积极参与面向产业和企业的业务拓展工作，结合合作企业的实际需求，针对性地组织调动政策、标准、网络等多维度支持资源；为商务解决方案提供有效输入，增强方案竞争力，助力业务拓展目标达成；
4. 在资源盘点与业务支持过程中，主动识别潜在商业合作机会；通过深度分析客户需求与中心资源的结合点，推动合作意向向实质性商业项目转化，贡献中心整体商业可持续发展;
5. 参与关键项目的过程推进，协调内外部资源，跟踪资源到位与利用效果；关注客户侧业务成效，及时反馈并优化资源支持策略，共同保障项目的稳健、高质量落地交付。","1. 本科及以上学历，工商管理、国际关系/事务、经济学、工程管理或相关专业优先；具备工业人工智能、智能制造或相关领域的基础认知；
2.  3年及以上相关从业经验（优秀者可放宽）；具有政府资源对接、国际组织合作、产业生态构建或企业业务拓展经验者优先；具备跨文化背景下的商务合作经验者加分；
3. 具备较强的资源整合、生态构建与关系维护能力；
4. 具备良好的商务沟通、谈判能力和客户关系管理能力；
5. 具备结构化思维，能清晰梳理和呈现复杂资源信息；
6. 英语听说读写流利，可独立开展国际合作沟通与谈判；
7. 工作主动、抗压能力强，具备良好的跨部门协作意识。",面议
国聘,中化方胜能源管理服务有限公司,外包-投资管理岗（人工智能领域）,2000-5000人,"1.负责人工智能行业投资机会梳理、项目开发以及项目投资执行工作； 
2.负责部分已投项目的投后管理工作； 
3.参与基金投资和投后的相关工作；
4.完成公司交办的其他工作。",,9000-15000元/月
国聘,北京首都科技发展集团有限公司,博士后研究人员（人工智能在多场景新产业融合检验检测应用方向）,100-300人,"（一）岗位职责：
1. 构建AI检测能力。负责构建面向人工智能大模型（LLM）及具身智能（Embodied AI）产品的检测体系、方法及工具。
2. 前沿技术研究。跟踪人工智能领域（尤其是大模型与具身智能）、低空经济等新技术、新方向、新业务检测服务模式，对新技术检测能力体系建设的可研分析，为公司识别与孵化新业务机会提供战略支撑。
3.项目申报与管理。围绕新赛道、新技术的研究及已有检测业务的能力，重点关注和申报相关政策项目的支持，并负责科研项目全生命周期的管理，确保项目高效执行并高质量完成结题。
4.业务规划支撑。根据公司战略要求，参与或主导相关业务与技术发展规划的制定。将研究成果转化为可量化、可评估的指标体系，并推动相关技术标准的制定，培育转化新业务。
（二）","1. 已取得计算机科学与技术、数据科学、软件工程、电子科学与技术、信息与通信工程或相关专业的博士学位；年龄在35周岁以下。
2. 从事人工智能行业者，熟悉预训练大模型技术，熟悉预训练大模型安全攻击和防护技术，熟悉具身智能等相关测试方法、标准和技术，熟悉具身智能安全攻击和防护技术，在真实世界仿真和攻防方面有深入研究经历。
3. 具有独立组织、管理并成功交付科研或工程项目（尤其是AI安全或具身智能相关项目）的经验者优先；具有撰写技术标准文档或申请技术专利的经验者优先。
4. 具备优秀的英文文献阅读、项目技术文档撰写能力；具备出色的沟通表达与团队协作能力。",20000-25000元/月
国聘,北汽福田汽车股份有限公司,人工智能工程师,30000人以上,"1、参与AI相关项目的需求梳理、方案讨论与技术落地，协助完成模型训练、数据预处理、实验验证等基础工作。
2、配合团队进行数据采集、清洗、标注与数据集管理，支撑算法迭代与效果优化。3、学习并使用主流深度学习框架、机器学习算法，完成简单模型开发、调试与效果评估。
4、协助撰写实验报告、技术文档与项目总结，跟进项目进度并同步问题。
5、跟踪行业前沿技术、论文与开源方案，参与技术调研与方案对比。
6、配合后端、前端、产品等团队完成接口联调、功能测试与上线支持。
7、完成上级安排的其他AI相关技术研发、工程化与辅助类工作。

任职标准：
1.硕士及以上学历，人工智能、计算机、软件工程、控制工程等计算机相关专业优先；
2.具备良好的团队合作能力和沟通能力，能够适应快速变化的工作环境优先；
3.工作态度积极主动，责任心强。善于与他人合作，具有良好的团队合作意识、团队协作能力优先；
4.认同北汽福田企业文化，具有一定的社会责任感。",,面议
国聘,中电科海洋信息技术研究院有限公司,人工智能-博士后,100-300人,"招聘对象：
1.具有博士学位，品学兼优，身体健康，年龄一般在35周岁以下，自获得博士学位至申请之日一般不超过3年；
2.熟练掌握人工智能各类框架、算法和工具，能够开展行业大模型、无人智能等领域技术研究及产品研制，
3.该岗位接受应届生简历。",,面议
国聘,上海人工智能研究院有限公司,品牌发展经理,100-300人,"1. 科创生态运营规划：结合市场趋势与生态需求，制定生态发展战略、市场策略及渠道运营规划；
2. 产业生态体系搭建：链接政府、高校、科研机构、科技企业、创新平台等生态伙伴，构建稳定合作网络；
3. 项目合作与市场开拓：深刻了解合作伙伴在科创生态的综合发展需求，挖掘品牌及业务合作机会，结合研究院品牌与生态资源，策划并推进合作项目，协同内部相关团队，达成年度工作目标；","1. 本科及以上学历，五年以上科技生态合作、渠道管理、商务拓展BD或产业联盟相关管理经验，具备科技大厂、科创平台、政企合作相关背景，具备政府资源、头部AI企业资源、科技产业上下游资源者优先；
2. 具备较强资源整合能力，高效串联内外部资源，识别机会挖掘合作潜力，聚焦营收转化。具备突出商务洽谈与业务增长思维，独立与合作伙伴中高层建立信任并推进业务，结果导向；
3 执行力强，具备跨部门协同能力、复杂项目推进能力及成本管控意识，善于统筹协调，推动合作与营收目标落地；
4. 熟悉国家及上海科创政策、产业运营模式，推动资源变现与合作伙伴拓展。",面议
国聘,上海人工智能研究院有限公司,财务主管,100-300人,"1. 财务管理与规划
 - 制定财务计划：根据公司整体经营目标和战略，协助制定财务收支计划、成本费用计划等，确保公司资金的有效配置和使用。
 - 预算编制与执行：组织编制年度、季度财务预算，并监督预算的执行情况，及时调整预算以应对市场变化，确保公司财务目标的实现。
2. 会计核算与报告
 - 会计核算：负责公司的会计核算工作，确保会计信息的真实、准确、完整。这包括编制会计凭证、登记账簿、编制会计报表等。
 - 财务报告：定期编制财务报表，如资产负债表、利润表、现金流量表等，并向管理层和外部利益相关者提供财务报告，反映公司的财务状况和经营成果。
3. 成本控制与分析
 - 成本控制：制定成本控制制度和措施，对生产经营过程中的各项成本进行监控和管理，确保成本控制在预算范围内。
 - 财务分析：定期进行财务分析，包括盈利能力分析、偿债能力分析、营运能力分析等，为公司经营决策提供财务依据和建议。
4. 税务管理与筹划
 - 税务申报：负责公司各项税费的计算、申报和缴纳工作，确保公司依法纳税。
 - 税务筹划：根据国家税收政策，进行税务筹划工作，合理降低公司税负，提高公司经济效益。
5. 风险管理与内部控制
 - 风险管理：识别、评估公司面临的财务风险，制定风险应对措施，确保公司财务活动的稳健进行。
 - 内部控制：建立健全内部控制体系，对公司的财务活动进行监督和检查，防止财务舞弊和违法违规行为的发生。
6. 公司资产管理与规划
熟悉各项资质补贴政策，可针对性规划公司技术资产、专利证书、企业资质等无形资产。
7. 其他工作
 - 参与决策：参与公司重大经济事项的决策过程，提供财务分析和建议。
 - 协调沟通：与公司内部其他部门及外部相关机构保持良好的沟通和协调关系，确保财务工作的顺利进行。","1. 财务、会计、经济等相关专业本科及以上学历，中级及以上职称； 
2. 5年以上财务管理或相关领域工作经验，具备深厚的财务理论基础及实践经验； 
3. 精通国家财经法规、税务政策及会计准则，具备较强的财务分析能力和预算管理能力，能够独立完成财务分析报告； 
4. 了解企业融资、投资、并购等资本运作流程；
5. 良好的职业素养、具备高度的责任心和职业道德。",面议
国聘,广东人工智能与先进计算研究院,多模态算法工程师,100-300人,"1.负责孤独症（ASD）相关多模态数据的特征提取与融合算法研发；
2.研发针对医疗小样本场景下的分类、检测及识别算法，解决临床数据获取难、样本量少的核心痛点；
3.开发针对儿童社交能力、刻板动作及表情意图的自动量化分析模型；
4.负责算法在移动端或医疗设备端的性能优化、部署与工程化落地。","1.计算机、模式识别、自动化等相关专业，2年以上相关经验，本科及以上学历；
2.深入理解深度学习理论，精通小样本学习、迁移学习或元学习相关算法；
3.具有扎实的多模态数据处理经验，熟悉特征对齐、跨模态交互等主流技术路线；
4.熟练掌握 PyTorch、TensorFlow 等至少一种深度学习框架，具备前沿论文复现与改进能力；
5.有情感计算、动作识别、视觉分析等相关算法项目经验者优先；
6.逻辑思维严谨，英文文献阅读能力强，具备良好的沟通能力和团队协作精神；
7.对医疗人工智能领域有热情，能够与临床医学专家合作开展跨学科研究。",15000-25000元/月
国聘,广东人工智能与先进计算研究院,算法工程师,100-300人,"[岗位职责]
1.负责孤独症（ASD）相关多模态数据的特征提取与融合算法研发；
2.研发针对医疗小样本场景下的分类、检测及识别算法，解决临床数据获取难、样本量少的核心痛点；
3.开发针对儿童社交能力、刻板动作及表情意图的自动量化分析模型；
4.负责算法在移动端或医疗设备端的性能优化、部署与工程化落地。
[","]
1.计算机、模式识别、自动化等相关专业，2年以上相关经验，本科及以上学历；
2.深入理解深度学习理论，精通小样本学习、迁移学习或元学习相关算法；
3.具有扎实的多模态数据处理经验，熟悉特征对齐、跨模态交互等主流技术路线；
4.熟练掌握 PyTorch、TensorFlow 等至少一种深度学习框架，具备前沿论文复现与改进能力；
5.有情感计算、动作识别、视觉分析等相关算法项目经验者优先；
6.逻辑思维严谨，英文文献阅读能力强，具备良好的沟通能力和团队协作精神；
7.对医疗人工智能领域有热情，能够与临床医学专家合作开展跨学科研究。",18000-25000元/月
国聘,广西水利电力建设集团有限公司,人工智能,500-1000人,"】
1.负责公司人工智能规划、运维管理工作；
2.负责公司科技创新平台建设工作；
3.负责公司科技项目、技术方案管理工作。
【任职条件】
1.硕士研究生及以上学历，人工智能类相关专业；
2.年龄：30岁以下；
3.性别：不限；
4.具备一定的学习理解、沟通协调、数据分析能力，较强的文字表达能力，熟练操作各类常用办公软件；
5.具有较强的团队意识、责任意识，工作严谨、勤奋。",,面议
国聘,联通智网科技股份有限公司,人工智能,500-1000人,"【岗位职责】
主要负责于开发和优化车路协同平台和交通管理平台，需要与产品经理和工程师密切合作，推动大模型在实际业务场景中的应用。主要职责包含如下：
1.数据集整理和优化：
（1）收集、清理和标注用于模型训练的数据集。
（2）优化数据处理流程，提升数据质量和模型训练效率。
2.模型微调和验证测试：
（1）根据具体应用场景和需求，进行大模型的微调和优化。
（2）设计和执行模型验证测试，确保模型性能达到业务需求。
3.推理调用优化：
（1）优化大模型的推理效率，确保模型在实际应用中的快速响应。
（2）开发和实现模型推理的高效调用方案。
4.应用层代码编写：
（1）基于langchain, llamaindex, vanna 等框架，编写应用层代码。
（2）实现数据助手（NL2SQL）、公告生成、报告生成和视频分析等业务应用场景。
【","】
1.具备计算机科学、人工智能、数据科学或相关领域的硕士研究生及以上学历。
2.实习经验：AI相关经验，具有大模型开发和优化经验者优先。
3.熟悉主流的大模型架构（如GPT系列、BERT、Transformer等）。
4.熟练掌握模型微调、训练和验证的相关技术和工具（如Peft、Transformers、LLAMA-Factory、swsft）。
5.具有数据处理和优化的经验，熟悉常见的数据处理工具和框架。
6.具备高效的模型推理优化经验，了解相关的优化策略和工具。
7.熟练使用langchain, llamaindex等框架，有相关项目经验者优先。
8.熟练使用和优化开源大模型（如Qwen Llama3等）。
9.熟练使用Python，具备良好的编程能力和代码质量。&amp;quot;",面议
