求职网站,公司名称,岗位名,需求数量,职责,能力要求,薪资待遇
智联招聘,河南翱特人工智能科技有限公司,人工智能助理,20-99人,岗位职责：1．协助完成人工智能相关项目的资料整理与信息支持2．参与团队协作，完成日常事务性工作 3．按时完成上级交办的各项工作任务,： 1．大专学历，计算机相关专业优先。 2．有较强的学习能力与责任心，工作认真细致 3．能够适应多任务并行处理，具备一定抗压能力 岗位福利：入职缴纳五险一金，有绩效奖，年终奖，法定节假日带薪休假。 工作时间：早九晚六，双休，不加班。,6000-8000元
智联招聘,自由净土人工智能科技昆明有限公司,急聘普工/操作工-月入6000（包住）,20-99人,3D打印工作的生产与机器维护，要求听从组长的安排认真完成上级任务。不会的可以教。听话认真，有一定的觉悟。本公司目前主要在做跨境电商、人工智能开发、游戏制作、AI 漫剧、软件开发，来了处处都是机会缴社保可提供住宿底薪3000+提成+奖金免费零食，免费饮品工作时间早9点-晚6点，月轮休4天以上（可存假期）多劳多得，赏罚分明，没有勾心斗角。想跟我在市场上搏一搏的，来。注：本公司对自觉主动做事的能力有要求，混子，摸鱼者请绕行。不要浪费你我时间。原标题：《人工智能公司助理》,,3000-6000元
智联招聘,重庆软江图灵人工智能科技有限公司,人工智能产品外观结构设计师,20-99人,工作职责：1、负责工业产品的结构设计和外观设计，从概念设计到详细设计的全过程；与跨职能团队合作，包括工程、制造和市场部门，确保设计方案的可行性和市场竞争力；2、进行市场调研和用户需求分析，以指导设计方向；3、专业设计软件（如 SolidWorks、AutoCAD、Adobe 系列等）创建和修改设计图纸、3D 模型和渲染图；4、参与产品原型制作和测试，根据反馈进行设计优化；5、跟踪行业趋势和新技术，为产品设计提供创新思路；6、指导和培训初级设计师，提升团队整体设计水平。,：1、本科及以上学历，工业设计、产品设计、机械工程等相关专业；2、[3-5] 年以上人工智能科技公司工业产品设计经验，有成功上市产品案例者优先；3、精通人工智能产品结构设计和外观设计，熟悉材料、工艺和制造流程；4、熟练掌握相关设计软件，具备良好的手绘和建模能力；5、具备创新思维和良好的审美能力，对用户体验有深入理解；6、良好的沟通能力和团队合作精神，能够有效管理项目进度；7、对工业设计有浓厚兴趣，关注细节，追求卓越。,1.5-2万
智联招聘,企袖会人工智能科技(北京)有限公司,人工智能产品经理,20-99人,我们正在寻找一位经验丰富的AI产品经理，负责创新项目从0-1的需求分析以及产品原型设计和产品上线的全流程管理。 具备PMP或NPDP证书，优先！！具备创业团队人工智能toB大模型设计完整项目落地经历，优先！！工作内容：  1. 负责AI产品的需求分析、规划、设计及实施；  2. 与技术团队合作，完成产品开发并上线；  3. 对产品进行持续优化，提升用户体验；  4. 分析市场趋势，调整产品策略。  深入理解Transformer架构、大模型预训练/微调/RAG/Agent等核心技术原理，熟悉国内外主流大模型产品的特性与差异； 具备Prompt工程、模型评测体系设计相关经验，有大模型产品完整落地经验者优先。  5、具备规范的产品需求分析审核、确认流程，以及产品需求转移流程。,： 必须具备业务逻辑思维，同时，具备品牌意识和用户视角！  1.具备3年以上AI产品经理相关经验，主导过至少1款大模型/AI产品从0到1的全流程落地，有成功商业化案例、大厂相关经验者优先。  2.基础技能：熟练使用Axure、Figma、XMind等产品设计工具，具备扎实的产品文档输出与逻辑梳理能力。  3.能适应创业团队的节奏与变化，同时有较大的抗压能力，和强大的沟通协调能力 核心通用能力要求  1）. AI技术理解力（核心必备）：理解LLM/VLM大模型、机器学习、NLP、CV等AI技术的基本原理、能力边界与应用场景，熟悉模型预训练、微调、推理全流程，能与算法团队无障碍沟通，精准传递需求并协同制定技术解决方案。  2.） 产品设计与逻辑思维：具备极强的需求拆解、业务抽象、场景化设计能力，能从用户/业务痛点出发，设计合理的AI产品解决方案，规避“为了AI而AI”的伪需求。  3.） 数据驱动能力：具备优秀的数据分析能力与数据敏感度，能设计产品双维度核心指标体系，熟练掌握A/B实验设计方法，通过数据洞察定位问题、制定迭代策略；熟悉AI产品专属指标（准确率、召回率、响应时延、算力成本等）的设计与评估。  4.） 项目管理与协作能力：具备强交付意识与优秀的跨团队沟通协调能力，能联动多职能团队推动复杂项目高效落地，我司属于创业团队，整体节奏和变化较快，如果适配字节快速迭代的工作节奏那么对该岗位的工作节奏亦可适应，具备极强的抗压能力与自驱力￼￼￼。  5） 行业洞察与快速学习能力：对AI领域有强烈的好奇心，能持续跟踪国内外前沿技术与产品动态，快速学习并转化为产品落地能力，具备产品创新意识。  6.） 用户同理心与商业判断力：能深度理解用户核心需求，平衡用户体验、技术可行性、商业价值与合规风险，制定科学的产品决策。,2-4万
智联招聘,芸好朋友人工智能科技(成都市)有限公司,市场业务员-人工智能+周末双休/五险一金,20-99人,【公司优势】 1、在职业务员人均年销售额200-1000万RMB； 2、入职后进行在职产品培训及销售技巧培训，结合公司自有的充足客户资源，成单易、成单率高； 3、公司产品属于通信硬件、互联网行业，不存在淡旺季，行业发展有前途，拥有先进的saas管理系统，可为客户提供高效率、可溯源、定制化的高品质服务； 4、涵盖项目广，参与项目涵盖各国家通信运营商招投标、互联网数据中心、基础信息网络工程建设、商业/医疗/政府项目通信设施建设； 【岗位职责】 1.负责公司业务的推广、成交； 2.协助客户完成业务流程，提供专业咨询服务； 3.完成上级领导交办的其他任务； 4.公司提供资源，业务经理负责资源的转化、签约业务，维护现有客户的问题，筛选高意向客户并同步至转化团队； 【,】 1.中专及以上学历，35岁以下； 2.亲和力强，善于沟通交流，销售能力好； 3.学习及适应性强，理解能力强，勇于接受挑战，具有较强的服务意识及团队意识； 4.服从领导安排的工作任务，服从调动； 5.对通讯行业熟悉及熟悉通讯系统者优先； 6.成功入职后，公司会首先安排系统的岗前培训，将由经验丰富的导师为您提供一对一的指导，帮助快速成长； 【薪酬福利】 1.底薪 3-5k(面试定级)+按单提成，试用期薪资不打折扣，转正缴纳五险一金； 2.海量客户资源，工厂专业同事给予产品技术支持，月内即开新单，新人月销轻松破10WRMB业绩，能力优秀者月综合薪资2W+；  注:有经验、以往有良好业绩，且能提供业绩证明者，薪资待遇可面议，不设上限 3、上午9:15-11:45，下午13:30-18:15(午休时长充足)，周末双休，严格按照国家法定节假日放假(春节、国庆等长假正常休假)。,4000-8000元
智联招聘,鹏劳人力,人工智能应用工程师1（外派中广核智造科技（苏州）公司）,300-499人,外派中广核智造科技（苏州）公司招聘：人工智能应用工程师  一、,：  1.自动化、计算机、电子信息、机械等相关专业；本科学历毕业2年及以上，或硕士研究生  2.具备良好的编程能力，熟练使用Python进行脚本开发，有C++/C#/Java其中一种经验者更佳。  3.了解数据采集、清洗和标注的完整流程，能够使用或学习常见的数据标注工具。  4.具备较强的动手能力，对AI项目中的硬件（如相机、传感器、工控机等）有兴趣，了解其基本选型原则，了解模型的部署流程。  5.具备良好的沟通能力和团队协作精神，能够适应短期出差进行现场调试。  6.（优先）有软件落地应用和Linux使用基础。  7.（优先）了解基本的机器学习概念，能与算法工程师高效沟通。  8.（优先）有嵌入式平台、国产化服务器部署算法经验。  二、工作范围：  1.负责AI项目的数据工作，包括数据采集、清洗、标注组织与质量核查。  2.参与硬件设备的选型、测试和集成，协助完成项目现场的安装与调试。  3.负责将算法工程师提供的模型进行部署、集成到现有系统中，并进行功能测试。  4.编写项目相关的技术文档、使用手册及验收材料。  5.收集和反馈项目实施过程中遇到的问题，为算法优化提供输入。  薪酬待遇：12000-16000元/月，有年终奖；  工作地点：苏州高新区泰山路2号39幢东,1.2-1.6万
智联招聘,江苏星火渔影生物科技有限公司,人工智能数据算法架构深度学习工程师,20-99人,"分公司宁波药化科研型跨境 B2B 外贸公司，为高校科研团队、科研院所及生物医药化学企业，提供科研级中间体、试剂及定制化技术支持与协同开发服务。  诚邀英才，可协助在宁波安居乐业。     福利待遇：   1. 公司提供宁波市中心两室一厅拎包入住精装房，可携带家眷（任职期间住宿全免）；       2. 硕博人才可配合申请政府人才安家费、创业就业人才补助费等人才福利待遇。       3. 能力出众者，可上升为联合创始人，享有企业股份、分红、五险以外商业补充险等福利待遇。  职位名称：人工智能数据算法架构深度学习工程师     人才需求：（擅长以下1-2项工作能力即可）       1.根据项目需求全栈开发化学领域数据科学、人工智能项目，能进行从数据挖掘，数据分析，特征工程，AI模型构建和优化等的全流程算法开发，对模型进行测试和调优;           2.支持开发化学、或生物医药领域相关AI算法，包括预测模型的构建和优化，逆合成分析，反应条件预测，化学图谱分析等;           3.对化学家产生的化学合成反应、分离分析等数据进行收集，整合；使用化学信息学相关软件，如ChemAxon,RDkit, Python等对数据进行预处理和计算;           4 .熟悉机器学习，理解经典机器学习和主流深度学习算法，用过机器学习相关软件框架如TensorFlow， PyTorch；           5 .有较强编程能力，能熟练使用linux系统， Python及机器学习相关库，熟练使用 SQL 语句，有较好的软件编程经（Python/Java）;   应聘方式  请通过智联招聘投递简历，24小时内回复",,2-4万·13薪
智联招聘,赤峰凯御人力资源服务有限责任公司,ai人工智能算法工程师（接受零基础）,20-99人,岗位内容：1. 设计和实现高效的算法，解决现有系统存在的问题。2. 利用数学、统计学和机器学习等相关领域的知识，分析海量数据并进行建模。3. 优化算法实现，并保证代码的可扩展性和可维护性。4. 开发和维护算法服务，并与其他团队密切合作。,,1.2-2万
智联招聘,中建八局华南分公司,人工智能算法工程师,1000-9999人,【岗位职责】1、智能控制算法研发：针对建筑机器人（如喷涂机器人、钢筋绑扎机器人、地坪研磨机器人、智能塔吊等），研发基于视觉/力觉感知的轨迹规划、柔顺控制、避障与多机协同算法。2、施工场景感知与决策：利用计算机视觉（CV）、点云处理、SLAM等技术，实现工地复杂环境下的人、机、料、环实时识别与状态估计，并构建数字孪生驱动的决策模型。3、装备-工艺融合优化：与机械工程师协作，将AI算法嵌入到嵌入式控制器（如NVIDIA Jetson、STM32+AI加速器）中，解决控制实时性与鲁棒性问题，提升施工效率与精度。4、大数据分析平台建设：挖掘施工装备运行数据（振动、电流、温度等），开发故障预测与健康管理（PHM）系统，实现预测性维护与能耗优化。5、科研项目攻关：申报并承担国家级、省部级智能建造相关课题，产出高水平论文、专利及软件著作权，推动算法成果在华南区域标杆项目中的示范应用。【,】1、学历背景：博士研究生学历，人工智能、控制科学与工程、机器人学、计算机视觉、模式识别、机械电子工程等相关专业。2、核心技能：①精通Python/C++，熟悉PyTorch/TensorFlow等至少一种深度学习框架；②熟练掌握机器人运动学/动力学建模、MPC（模型预测控制）、强化学习（如PPO、SAC）或模仿学习中的至少两项；③具有实际机器人系统（机械臂、移动底盘、无人机等）算法部署经验，熟悉ROS/ROS2。3、行业认知：对建筑行业自动化程度低、非结构化环境等挑战有清醒认识，愿意钻研防尘、振动、光照变化等恶劣工况下的算法适应性。4、成果要求：以第一作者在ICRA/IROS/CVPR/CoRL/自动化学报等高水平会议或期刊发表论文≥2篇，或作为核心成员完成过机器人控制实际落地项目。5、软实力：具备优秀的团队协作能力，能与非算法背景的结构工程师、现场项目经理高效沟通。【加分项】1、有建筑施工装备（如泵车布料臂、挖掘机、高空作业平台）智能化改造经验；2、熟悉边缘计算、模型轻量化（TensorRT、ONNX）或实时操作系统（FreeRTOS、RT-Linux）；3、有全国或国际机器人竞赛获奖经历。,2.3-3.5万
智联招聘,江苏星火渔影生物科技有限公司,学校数据算法架构深度学习人工智能讲师 （AI应用 / AI训练 / python数据方向）,20-99人,"宁波星火职业技能培训学校属于宁波市人力资源与社保局主管，民非企培训学校。核心特色课程：AI人工智能赋能跨境电商化学医药领域+数据化运营实战培训课程，为高校科研团队、科研院所及生物医药化学企业，提供科研级中间体、试剂及定制化技术支持与协同开发服务。诚邀英才，可协助在宁波安居乐业。福利待遇： 1. 公司提供宁波市中心两室一厅拎包入住精装房（可携带家眷，任职期间住宿全免）； 2. 硕博人才可配合申请政府人才安家费、创业就业人才补助费等人才福利待遇。 3. 能力出众者，可上升为联合创始人，享有企业股份、分红、五险以外商业补充险等福利待遇。 人才类型：人工智能基础应用培训讲师（AI应用 / AI训练 / 数据方向）岗位类型： 职业技能培训｜实操型讲师授课对象： 16–35岁｜零基础学员课程介绍：本课程为学生提供了人工智能编程python，自动化和系统整合领域的知识和技能的全面培训。同时培训学生收集、整合、分析及展示工程数据的技巧,学生将学习如何从不同智能设备收集数据,有效数据转换和储存、工程应用的数据分析和展示等,当中包括程序编写、数据及计算机系统理论、数据库管理、统计学等。由于数据储存于云端,并须确保数据能安全传送,学生亦需学习云端运算及物联网网络安全知识。你要做什么（岗位职责）：不是纯讲理论，而是带着学员“真上手”1. 讲授人工智能基础应用知识，Python工具应用。帮助零基础学员理解：·AI是怎么训练出来的；·数据、模型、应用之间的关系；2. 指导学员完成 AI 实际训练流程，包括：·数据筛选、清洗、采集、标注、质检；·使用智能训练软件进行数据库管理；3. 辅助进行 AI 模型训练与优化：算法参数设置，模型测试、结果分析，持续迭代优化模型效果；4. 结合真实应用场景，指导： ·人机交互流程设计 ·AI 应用适配与优化 ·跟踪 AI 产品在实际使用中的性能表现，完成测试与优化辅助工作⸻我们希望你具备（",）满足以下任意一类即可，不要求“全能型” ·AI 算法训练 / 测试 / 优化 ·AI 模型设计或辅助优化 ·数据采集、数据审核、数据标注、数据治理 ·表达清晰、有耐心，愿意把复杂问题讲简单⸻你将面对的学员类型 • 数学建模与Python应用 • AI 算法训练、测试、优化相关从业或转行人员 • AI 模型设计 / 应用支持人员 • 数据审核员、数据采集员、数据标注员 • 数学 / 物理 / 统计学类、信息类、医药类、制造类在校或应届学生 • 企业 AI 相关负责人、AI 训练师意向人员,3-6万·13薪
